Name,Year,Selling_Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner
Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner
Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner
Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner
Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner
Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner
Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner
Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner
Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner
Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner
Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner
Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner
Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner
Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner
Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner
Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner
Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner
Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner
Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
Maruti,2015,585000,24000,Petrol,Dealer,Manual,First Owner
Hyundai,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
Chevrolet,2013,390000,33000,Diesel,Individual,Manual,Second Owner
Jaguar,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner
Maruti,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
Audi,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner
Honda,2018,930000,14500,Petrol,Dealer,Manual,First Owner
Tata,2018,525000,15000,Petrol,Individual,Manual,First Owner
Audi,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner
Skoda,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
Toyota,2016,900000,50000,Petrol,Individual,Automatic,First Owner
Toyota,2015,1300000,80000,Diesel,Individual,Manual,First Owner
Jeep,2019,1400000,10000,Petrol,Individual,Manual,First Owner
Mercedes-Benz,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
Hyundai,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
BMW,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
Audi,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
Hyundai,2012,625000,40000,Diesel,Individual,Manual,First Owner
Mahindra,2014,1050000,50000,Diesel,Individual,Manual,First Owner
Honda,2014,560000,74000,Diesel,Individual,Manual,Second Owner
Maruti,2014,290000,64000,Petrol,Individual,Manual,Second Owner
Maruti,2012,275000,60000,Petrol,Individual,Manual,Second Owner
Mahindra,2009,411000,120000,Diesel,Individual,Manual,Second Owner
Hyundai,2009,150000,79000,Petrol,Individual,Manual,Third Owner
Hyundai,2019,500000,15000,Petrol,Individual,Manual,First Owner
Maruti,2006,100000,80000,Petrol,Individual,Manual,First Owner
Maruti,2017,725000,18500,Diesel,Dealer,Manual,First Owner
Maruti,2018,401000,10200,Petrol,Dealer,Manual,First Owner
Hyundai,2018,750000,29000,Diesel,Dealer,Manual,First Owner
Maruti,2018,310000,28000,Petrol,Dealer,Manual,First Owner
Maruti,2016,665000,46000,Diesel,Dealer,Manual,First Owner
Hyundai,2014,465000,70000,Diesel,Dealer,Manual,First Owner
Maruti,2012,160000,60000,Petrol,Individual,Manual,Second Owner
Mahindra,1996,250000,35000,Diesel,Individual,Manual,Second Owner
Honda,2014,675000,90000,Diesel,Dealer,Manual,First Owner
Maruti,2013,300000,80000,Petrol,Dealer,Manual,First Owner
Tata,2005,70000,80000,Diesel,Individual,Manual,First Owner
Hyundai,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
Toyota,2014,525000,92000,Diesel,Dealer,Manual,First Owner
Maruti,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
Maruti,2009,140000,100000,Petrol,Individual,Manual,First Owner
Chevrolet,2010,280000,350000,Diesel,Individual,Manual,Second Owner
Toyota,2011,350000,230000,Diesel,Individual,Manual,First Owner
Mahindra,2017,570000,60000,Diesel,Individual,Manual,First Owner
Hyundai,2018,300000,31000,Petrol,Individual,Manual,First Owner
Tata,2007,100000,39000,Diesel,Individual,Manual,First Owner
Toyota,2009,500000,120000,Diesel,Individual,Manual,Third Owner
Tata,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,2006,130000,110000,Petrol,Individual,Manual,Third Owner
Ford,2017,925000,35000,Diesel,Individual,Manual,First Owner
Maruti,2018,750000,60000,Diesel,Individual,Manual,First Owner
Honda,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai,2010,248000,63000,Petrol,Individual,Manual,Second Owner
Skoda,2014,450000,120000,Diesel,Individual,Manual,Second Owner
Hyundai,2005,80000,120000,Petrol,Individual,Manual,Third Owner
Nissan,2014,650000,76000,Petrol,Individual,Manual,Second Owner
Hyundai,2015,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai,2019,650000,25000,Diesel,Individual,Manual,First Owner
Honda,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Honda,2015,371000,20000,Petrol,Dealer,Manual,First Owner
Hyundai,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner
Mahindra,2015,750000,70000,Diesel,Individual,Manual,First Owner
Renault,2013,600000,120000,Diesel,Individual,Manual,First Owner
Hyundai,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra,2013,325000,62200,Diesel,Dealer,Manual,First Owner
Audi,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
Fiat,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Audi,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
Datsun,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen,2013,450000,50000,Petrol,Individual,Manual,First Owner
Audi,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
Honda,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner
BMW,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
Volvo,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner
Maruti,2008,175000,29173,Petrol,Dealer,Manual,First Owner
BMW,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
Mahindra,2017,628000,120000,Diesel,Individual,Manual,First Owner
Hyundai,2010,600000,100000,Diesel,Individual,Manual,First Owner
Nissan,2017,399000,30000,Petrol,Individual,Manual,First Owner
Mahindra,2018,750000,87000,Diesel,Individual,Manual,First Owner
Hyundai,2019,750000,15000,Petrol,Individual,Manual,First Owner
Renault,2017,315000,16000,Petrol,Individual,Manual,First Owner
Mahindra,2012,600000,60000,Diesel,Individual,Manual,First Owner
Maruti,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti,2011,250000,110000,Petrol,Individual,Manual,Third Owner
Renault,2017,350000,25000,Petrol,Individual,Manual,First Owner
Hyundai,2016,780000,60000,Diesel,Individual,Manual,First Owner
Maruti,2014,434000,79350,Diesel,Individual,Manual,Second Owner
Hyundai,2016,690000,80000,Petrol,Individual,Automatic,First Owner
Mahindra,2014,555000,90000,Diesel,Individual,Manual,Second Owner
Maruti,2007,120000,90000,Petrol,Individual,Manual,Second Owner
Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet,2013,165000,60000,Diesel,Individual,Manual,Second Owner
Maruti,2004,95000,50000,Petrol,Individual,Manual,First Owner
Maruti,2018,550000,20000,Petrol,Individual,Manual,First Owner
Maruti,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata,2012,100000,50000,Petrol,Individual,Manual,Second Owner
Toyota,2012,500000,100000,Diesel,Individual,Manual,First Owner
Maruti,2016,800000,70000,Diesel,Individual,Manual,Second Owner
Hyundai,2016,840000,70000,Diesel,Individual,Manual,Second Owner
Honda,2016,490000,50000,Petrol,Individual,Manual,First Owner
Tata,2010,125000,81000,Diesel,Individual,Manual,Second Owner
Chevrolet,2012,400000,120000,Diesel,Individual,Manual,Third Owner
Chevrolet,2015,1000000,3600,Diesel,Dealer,Manual,First Owner
Ford,2015,530000,14272,Petrol,Dealer,Manual,First Owner
Ford,2017,840000,49213,Diesel,Dealer,Manual,First Owner
Hyundai,2015,229999,40000,Petrol,Individual,Manual,First Owner
Maruti,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet,2012,130000,80000,Petrol,Individual,Manual,First Owner
Hyundai,2015,200000,70000,Petrol,Individual,Manual,First Owner
Tata,2011,120000,70000,Diesel,Individual,Manual,First Owner
Hyundai,2003,75000,57000,Petrol,Individual,Manual,First Owner
Tata,2016,250000,120000,Diesel,Individual,Manual,First Owner
Maruti,2005,100000,30000,Petrol,Individual,Manual,First Owner
Hyundai,2013,280000,3240,Petrol,Individual,Manual,Second Owner
Hyundai,2015,540000,5000,Petrol,Individual,Manual,First Owner
Hyundai,2018,700000,10000,Petrol,Individual,Manual,First Owner
Maruti,2015,525000,100000,Diesel,Individual,Manual,First Owner
Hyundai,2016,430000,80000,Diesel,Individual,Manual,First Owner
Hyundai,2002,65000,70000,Petrol,Individual,Manual,First Owner
Maruti,2018,800000,35000,Diesel,Individual,Manual,First Owner
Hyundai,2007,75000,114000,Petrol,Individual,Manual,Second Owner
Hyundai,2008,210000,53772,Petrol,Individual,Manual,First Owner
Mahindra,2012,195000,140000,Diesel,Individual,Manual,Second Owner
Chevrolet,2015,400000,120000,Diesel,Individual,Manual,First Owner
Hyundai,2012,170000,60000,Petrol,Individual,Manual,First Owner
Renault,2016,225000,25000,Petrol,Individual,Manual,First Owner
Maruti,2014,210000,90000,LPG,Individual,Manual,First Owner
Maruti,2020,240000,120000,Petrol,Individual,Manual,First Owner
Chevrolet,2015,300000,175000,Diesel,Individual,Manual,First Owner
Chevrolet,2011,99000,100000,Petrol,Individual,Manual,Third Owner
Honda,2014,620000,36000,Petrol,Individual,Manual,First Owner
Honda,2013,500000,30000,Diesel,Individual,Manual,First Owner
Jaguar,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner
Honda,2013,260000,70000,Petrol,Individual,Manual,Second Owner
Maruti,2017,550000,60000,Petrol,Individual,Manual,First Owner
Tata,2011,150000,155500,Diesel,Individual,Manual,First Owner
Hyundai,2011,350000,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet,2016,320000,40000,Petrol,Individual,Manual,First Owner
Maruti,2015,400000,100000,Diesel,Individual,Manual,Third Owner
Maruti,2012,175000,80000,Petrol,Individual,Manual,Third Owner
Chevrolet,2011,120000,90000,Petrol,Individual,Manual,Second Owner
Renault,2013,320000,90000,Diesel,Individual,Manual,Second Owner
Hyundai,2006,70000,110000,Petrol,Individual,Manual,Third Owner
Maruti,2019,810000,15000,Petrol,Individual,Manual,First Owner
Maruti,2007,95000,100000,Petrol,Individual,Manual,Second Owner
Maruti,2020,282000,40000,CNG,Individual,Manual,First Owner
Maruti,2004,80000,60000,Petrol,Individual,Manual,Second Owner
Tata,2013,72000,25000,Petrol,Individual,Manual,First Owner
Hyundai,2016,600000,25000,Petrol,Individual,Manual,First Owner
Skoda,2015,640000,23000,Petrol,Individual,Manual,First Owner
Maruti,2018,380000,22155,Petrol,Individual,Manual,First Owner
Maruti,2018,650000,70000,Petrol,Individual,Manual,First Owner
Maruti,2009,150000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,2009,280000,110000,Petrol,Individual,Manual,Second Owner
Tata,2018,430000,30000,Petrol,Individual,Manual,First Owner
Mahindra,2019,800000,15000,Diesel,Individual,Manual,First Owner
Maruti,2003,75000,100000,Diesel,Individual,Manual,Second Owner
Volkswagen,2016,650000,70000,Diesel,Individual,Automatic,First Owner
Maruti,2017,390000,24000,Petrol,Individual,Manual,First Owner
Honda,2005,100000,120000,Petrol,Individual,Manual,Second Owner
Mercedes-Benz,2013,1500000,35000,Diesel,Individual,Automatic,First Owner
Maruti,2007,175000,78380,Petrol,Individual,Manual,First Owner
Renault,2012,434999,110000,Diesel,Individual,Manual,Second Owner
Ford,2010,170000,90000,Diesel,Individual,Manual,Third Owner
Ford,2011,190000,90000,Diesel,Individual,Manual,Third Owner
Maruti,2009,250000,150000,Diesel,Individual,Manual,Third Owner
Mahindra,2009,229999,230000,Diesel,Individual,Manual,Third Owner
Maruti,2006,140000,70000,Petrol,Individual,Manual,Third Owner
Maruti,2017,600000,80362,Diesel,Individual,Manual,First Owner
Hyundai,2012,280000,110000,Petrol,Individual,Manual,Third Owner
Chevrolet,2012,150000,60000,Diesel,Individual,Manual,First Owner
Chevrolet,2015,650000,50000,Diesel,Individual,Automatic,First Owner
Nissan,2014,210000,40000,Petrol,Individual,Manual,Second Owner
BMW,2017,2900000,40000,Diesel,Individual,Automatic,First Owner
Chevrolet,2013,425000,20000,Diesel,Dealer,Manual,First Owner
Hyundai,2014,265000,55000,Petrol,Dealer,Manual,First Owner
Fiat,2018,890000,1136,Petrol,Dealer,Manual,First Owner
Renault,2013,365000,55000,Petrol,Dealer,Manual,First Owner
Ford,2014,350000,43000,Petrol,Dealer,Manual,First Owner
Maruti,2016,685000,60000,Diesel,Individual,Manual,First Owner
Skoda,2018,940000,2650,Diesel,Dealer,Manual,First Owner
Mahindra,2017,1000000,40000,Diesel,Individual,Manual,First Owner
Mahindra,2019,1150000,15000,Petrol,Dealer,Manual,First Owner
Maruti,2016,450000,115962,Diesel,Individual,Manual,Second Owner
Nissan,2015,590000,65000,Diesel,Dealer,Manual,First Owner
Maruti,2017,800000,40000,Diesel,Individual,Manual,First Owner
Hyundai,2012,385000,58000,Diesel,Dealer,Manual,First Owner
Mercedes-Benz,2013,2000000,15000,Diesel,Individual,Automatic,First Owner
Hyundai,2012,235000,54000,Petrol,Dealer,Manual,First Owner
Volkswagen,2017,640000,56000,Diesel,Dealer,Manual,First Owner
Maruti,2006,52000,120000,Petrol,Individual,Manual,Third Owner
Maruti,2009,80000,90000,LPG,Individual,Manual,Second Owner
Maruti,2012,140000,70000,Petrol,Individual,Manual,Second Owner
Hyundai,2008,120000,90000,Petrol,Individual,Manual,Second Owner
Mahindra,2008,89999,213000,Diesel,Individual,Manual,First Owner
Chevrolet,2012,180000,120000,Diesel,Individual,Manual,First Owner
Mahindra,2017,1500000,20000,Diesel,Individual,Manual,First Owner
Hyundai,2017,700000,10000,Petrol,Individual,Manual,First Owner
Maruti,2012,285000,80000,Diesel,Individual,Manual,Second Owner
Hyundai,2015,390000,90000,Petrol,Individual,Manual,First Owner
Maruti,2008,125000,80000,Petrol,Individual,Manual,First Owner
Maruti,2008,225000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,2011,175000,139000,Petrol,Individual,Manual,Second Owner
Toyota,2011,1075000,160000,Diesel,Individual,Manual,Second Owner
Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner
Toyota,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
Tata,2009,90000,120000,Diesel,Dealer,Manual,First Owner
Tata,2011,120000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet,2012,220000,100000,Diesel,Individual,Manual,Second Owner
Tata,2015,300000,140000,Diesel,Dealer,Manual,First Owner
Skoda,2010,180000,87000,Diesel,Dealer,Manual,Second Owner
Maruti,2013,170000,70000,Petrol,Individual,Manual,First Owner
Ford,2015,300000,50000,Petrol,Individual,Manual,Second Owner
Toyota,2014,1050000,70000,Diesel,Individual,Manual,First Owner
Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner
Hyundai,2018,465000,25000,Diesel,Individual,Manual,First Owner
Chevrolet,2011,130000,80000,Diesel,Individual,Manual,Second Owner
Datsun,2018,434999,10000,Petrol,Individual,Manual,First Owner
Hyundai,2018,500000,32000,Petrol,Individual,Manual,First Owner
Maruti,2018,200000,10000,Petrol,Individual,Manual,First Owner
Maruti,2017,625000,52000,Petrol,Dealer,Manual,First Owner
Ford,2006,110000,120000,Diesel,Individual,Manual,Third Owner
Hyundai,2019,800000,11240,Petrol,Individual,Manual,First Owner
Hyundai,2017,490000,66000,Diesel,Dealer,Manual,First Owner
Maruti,2017,880000,64000,Diesel,Dealer,Manual,First Owner
Hyundai,2013,290000,49000,Petrol,Individual,Manual,First Owner
Tata,2006,115999,100000,Diesel,Individual,Manual,Second Owner
Renault,2018,360000,26500,Petrol,Individual,Manual,First Owner
Maruti,2002,65000,100000,Petrol,Individual,Manual,Second Owner
Maruti,2017,685000,72000,Diesel,Dealer,Manual,First Owner
Honda,2009,300000,50000,Petrol,Individual,Manual,First Owner
Hyundai,2017,680000,44000,Diesel,Dealer,Manual,First Owner
Maruti,2017,1000000,60000,Diesel,Individual,Manual,Second Owner
Tata,2002,100000,120000,Diesel,Individual,Manual,First Owner
Mahindra,2010,160000,130000,Diesel,Individual,Manual,First Owner
Maruti,2017,450000,70000,Diesel,Individual,Manual,First Owner
Maruti,2014,600000,20000,Petrol,Individual,Manual,First Owner
Hyundai,2009,180000,60000,Diesel,Individual,Manual,Second Owner
Maruti,2007,100000,195000,Petrol,Individual,Manual,First Owner
Maruti,2010,120000,90000,Petrol,Individual,Manual,Second Owner
Hyundai,2006,130000,80000,Petrol,Individual,Manual,Third Owner
